id,date_entree,date_sortie,actif,sens,prix_entree,prix_sortie,quantite,pnl_brut,frais
72,2024-12-24,2025-01-08,AETH,long,105.6353,110.2951,18.9331,88.22,2.04
73,2024-12-25,2025-01-06,AETH,long,106.7397,112.4732,18.7372,107.43,2.05
74,2024-12-26,2024-12-31,AETH,long,106.5706,107.7703,18.7669,22.51,2.01
75,2024-12-27,2025-01-08,AETH,long,106.4212,110.2951,18.7932,72.8,2.04
76,2024-12-30,2025-01-09,AETH,long,107.8244,110.0121,18.5487,40.58,2.02
77,2024-12-31,2025-01-10,AETH,long,107.7703,112.0477,18.558,79.38,2.04
78,2025-01-03,2025-01-15,AETH,long,110.6954,107.5462,18.0676,-56.9,1.97
79,2025-01-06,2025-01-21,AETH,long,112.4732,108.9159,17.782,-63.26,1.97
80,2025-01-07,2025-01-15,AETH,long,111.2967,107.5462,17.97,-67.4,1.97
81,2025-01-08,2025-01-15,AETH,long,110.2951,107.5462,18.1332,-49.85,1.98
82,2025-01-10,2025-01-20,AETH,long,112.0477,105.678,17.8495,-113.7,1.94
83,2025-02-05,2025-02-19,AETH,long,105.9034,99.887,18.8851,-113.62,1.94
84,2025-02-07,2025-02-20,AETH,long,103.4708,99.9727,19.3291,-67.62,1.97
85,2025-03-04,2025-03-14,AETH,long,101.9033,98.8397,19.6264,-60.13,1.97
86,2025-03-05,2025-03-13,AETH,long,103.6317,96.6116,19.2991,-135.48,1.93
87,2025-03-07,2025-03-13,AETH,long,102.4596,96.6116,19.5199,-114.15,1.94
88,2025-03-10,2025-03-21,AETH,long,100.2586,93.2428,19.9484,-139.96,1.93
89,2025-03-26,2025-04-07,AETH,long,95.6385,84.7446,20.9121,-227.81,1.89
90,2025-03-27,2025-04-01,AETH,long,97.2765,96.4597,20.56,-16.79,1.99
91,2025-03-31,2025-04-04,AETH,long,98.8959,92.7254,20.2233,-124.79,1.94
92,2025-04-01,2025-04-11,AETH,long,96.4597,79.746,20.7341,-346.54,1.83
93,2025-04-03,2025-04-09,AETH,long,98.2218,81.5764,20.3621,-338.94,1.83
94,2025-04-16,2025-04-30,AETH,long,87.4825,93.3099,22.8617,133.22,2.07
95,2025-04-17,2025-04-29,AETH,long,82.0242,91.4321,24.383,229.39,2.11
96,2025-04-18,2025-04-23,AETH,long,83.1978,79.4346,24.0391,-90.46,1.95
97,2025-04-22,2025-04-25,AETH,long,82.7657,86.5953,24.1646,92.54,2.05
98,2025-04-25,2025-05-01,AETH,long,86.5953,88.8866,23.0959,52.92,2.03
99,2025-04-28,2025-05-13,AETH,long,89.4269,85.7367,22.3646,-82.53,1.96
100,2025-04-29,2025-05-02,AETH,long,91.4321,90.1499,21.8742,-28.05,1.99
101,2025-04-30,2025-05-08,AETH,long,93.3099,82.3353,21.4339,-235.23,1.88
102,2025-05-01,2025-05-16,AETH,long,88.8866,82.8881,22.5006,-134.97,1.93
103,2025-05-02,2025-05-16,AETH,long,90.1499,82.8881,22.1853,-161.1,1.92
104,2025-05-12,2025-05-23,AETH,long,87.0119,79.9887,22.9854,-161.43,1.92
105,2025-05-13,2025-05-23,AETH,long,85.7367,79.9887,23.3272,-134.08,1.93
106,2025-05-14,2025-05-28,AETH,long,87.465,81.4488,22.8663,-137.57,1.93
107,2025-05-15,2025-05-26,AETH,long,85.5244,79.7045,23.3851,-136.1,1.93
108,2025-05-30,2025-06-16,AETH,long,82.8421,80.0609,24.1423,-67.15,1.97
109,2025-06-02,2025-06-17,AETH,long,80.9137,81.5547,24.7177,15.84,2.01
110,2025-06-12,2025-06-20,AETH,long,80.1681,81.0073,24.9476,20.94,2.01
111,2025-06-13,2025-06-25,AETH,long,80.2406,82.0673,24.925,45.53,2.02
112,2025-06-16,2025-06-25,AETH,long,80.0609,82.0673,24.981,50.12,2.03
113,2025-06-18,2025-06-23,AETH,long,81.1471,82.0612,24.6466,22.53,2.01
114,2025-06-25,2025-06-30,AETH,long,82.0673,83.6266,24.3703,38.0,2.02
115,2025-06-26,2025-07-04,AETH,long,83.6842,86.5282,23.8994,67.97,2.03
116,2025-06-27,2025-07-07,AETH,long,83.4108,86.8916,23.9777,83.46,2.04
117,2025-06-30,2025-07-14,AETH,long,83.6266,85.5339,23.9158,45.62,2.02
118,2025-07-01,2025-07-10,AETH,long,85.5318,85.7645,23.3831,5.44,2.0
119,2025-07-02,2025-07-10,AETH,long,85.3404,85.7645,23.4356,9.94,2.0
120,2025-07-04,2025-07-15,AETH,long,86.5282,84.776,23.1138,-40.5,1.98
121,2025-07-07,2025-07-21,AETH,long,86.8916,88.8776,23.0172,45.71,2.02
122,2025-07-08,2025-07-16,AETH,long,86.8658,86.6224,23.024,-5.6,2.0
123,2025-07-16,2025-07-22,AETH,long,86.6224,89.4801,23.0887,65.98,2.03
124,2025-07-17,2025-08-01,AETH,long,87.0629,96.0702,22.9719,206.92,2.1
125,2025-07-18,2025-07-28,AETH,long,88.702,93.5711,22.5474,109.79,2.05
126,2025-07-22,2025-07-28,AETH,long,89.4801,93.5711,22.3513,91.44,2.05
127,2025-07-23,2025-07-30,AETH,long,90.6295,94.1715,22.0679,78.17,2.04
128,2025-07-28,2025-08-04,AETH,long,93.5711,97.2139,21.3741,77.86,2.04
129,2025-07-29,2025-08-12,AETH,long,96.4347,101.8652,20.7394,112.63,2.06
130,2025-07-30,2025-08-06,AETH,long,94.1715,96.8257,21.2378,56.37,2.03
131,2025-07-31,2025-08-11,AETH,long,96.1084,101.5716,20.8098,113.69,2.06
132,2025-08-01,2025-08-06,AETH,long,96.0702,96.8257,20.8181,15.73,2.01
133,2025-08-04,2025-08-07,AETH,long,97.2139,97.5918,20.5732,7.77,2.0
134,2025-08-06,2025-08-11,AETH,long,96.8257,101.5716,20.6557,98.03,2.05
135,2025-08-07,2025-08-19,AETH,long,97.5918,104.1989,20.4935,135.4,2.07
136,2025-08-08,2025-08-15,AETH,long,99.5295,103.6566,20.0945,82.93,2.04
137,2025-08-12,2025-08-25,AETH,long,101.8652,105.6594,19.6338,74.49,2.04
138,2025-08-13,2025-08-27,AETH,long,102.8351,106.7285,19.4486,75.72,2.04
139,2025-08-14,2025-08-21,AETH,long,102.2448,103.0833,19.5609,16.4,2.01
140,2025-08-15,2025-08-29,AETH,long,103.6566,106.3377,19.2945,51.73,2.03
141,2025-08-18,2025-08-26,AETH,long,103.7448,106.2828,19.2781,48.93,2.02
142,2025-08-19,2025-09-02,AETH,long,104.1989,104.3889,19.1941,3.65,2.0
143,2025-08-20,2025-09-02,AETH,long,104.2947,104.3889,19.1764,1.81,2.0
144,2025-08-21,2025-09-03,AETH,long,103.0833,101.8091,19.4018,-24.72,1.99
145,2025-08-22,2025-09-03,AETH,long,105.0895,101.8091,19.0314,-62.43,1.97
146,2025-08-25,2025-09-01,AETH,long,105.6594,104.9843,18.9288,-12.78,1.99
147,2025-08-26,2025-09-10,AETH,long,106.2828,100.1455,18.8177,-115.49,1.94
148,2025-08-27,2025-09-10,AETH,long,106.7285,100.1455,18.7391,-123.36,1.94
149,2025-08-28,2025-09-10,AETH,long,106.5081,100.1455,18.7779,-119.48,1.94
150,2025-08-29,2025-09-15,AETH,long,106.3377,102.3653,18.808,-74.71,1.96
151,2025-09-15,2025-09-25,AETH,long,102.3653,106.1784,19.5379,74.5,2.04
152,2025-09-16,2025-09-26,AETH,long,102.8925,108.7017,19.4378,112.92,2.06
153,2025-09-17,2025-09-25,AETH,long,102.6774,106.1784,19.4785,68.19,2.03
154,2025-09-18,2025-09-30,AETH,long,102.8016,108.2259,19.4549,105.53,2.05
155,2025-09-19,2025-09-30,AETH,long,102.311,108.2259,19.5482,115.63,2.06
156,2025-09-25,2025-09-30,AETH,long,106.1784,108.2259,18.8362,38.57,2.02
157,2025-09-26,2025-10-02,AETH,long,108.7017,106.8533,18.399,-34.01,1.98
158,2025-09-29,2025-10-03,AETH,long,109.7288,107.0918,18.2268,-48.06,1.98
159,2025-09-30,2025-10-07,AETH,long,108.2259,106.5275,18.4799,-31.39,1.98
160,2025-10-01,2025-10-08,AETH,long,107.427,106.6493,18.6173,-14.48,1.99
161,2025-10-13,2025-10-24,AETH,long,111.0544,113.5992,18.0092,45.83,2.02
162,2025-10-14,2025-10-23,AETH,long,112.1509,114.3811,17.8331,39.77,2.02
163,2025-10-15,2025-10-21,AETH,long,114.1491,113.6679,17.5209,-8.43,2.0
164,2025-10-16,2025-10-24,AETH,long,113.8624,113.5992,17.5651,-4.62,2.0
165,2025-10-17,2025-10-31,AETH,long,114.3427,114.9061,17.4913,9.86,2.0
166,2025-10-20,2025-10-23,AETH,long,114.9185,114.3811,17.4036,-9.35,2.0
167,2025-10-21,2025-11-05,AETH,long,113.6679,114.1893,17.5951,9.17,2.0
168,2025-10-28,2025-11-06,AETH,long,115.1318,114.9382,17.3714,-3.36,2.0
169,2025-10-29,2025-11-07,AETH,long,115.0358,115.4051,17.3859,6.42,2.0
170,2025-10-30,2025-11-04,AETH,long,115.7126,116.4637,17.2842,12.98,2.01
171,2025-10-31,2025-11-10,AETH,long,114.9061,117.4212,17.4055,43.78,2.02
172,2024-01-31,2024-02-13,BTCX,long,237.4914,273.1835,8.4214,300.58,2.15
173,2024-02-01,2024-02-16,BTCX,long,246.5088,308.7287,8.1133,504.81,2.25
174,2024-02-02,2024-02-19,BTCX,long,245.3119,330.6326,8.1529,695.61,2.35
175,2024-02-05,2024-02-15,BTCX,long,236.7873,287.3768,8.4464,427.3,2.21
176,2024-02-09,2024-02-15,BTCX,long,249.4195,287.3768,8.0186,304.36,2.15
177,2024-02-12,2024-02-16,BTCX,long,268.8469,308.7287,7.4392,296.69,2.15
178,2024-02-14,2024-02-21,BTCX,long,284.2786,326.9107,7.0354,299.93,2.15
179,2024-02-15,2024-02-28,BTCX,long,287.3768,316.6632,6.9595,203.82,2.1
180,2024-02-16,2024-02-29,BTCX,long,308.7287,348.5782,6.4782,258.15,2.13
181,2024-02-19,2024-02-22,BTCX,long,330.6326,299.2211,6.049,-190.01,1.9
182,2024-02-20,2024-03-01,BTCX,long,336.5129,323.9454,5.9433,-74.69,1.96
183,2024-02-22,2024-02-28,BTCX,long,299.2211,316.6632,6.684,116.58,2.06
184,2024-02-29,2024-03-15,BTCX,long,348.5782,320.9559,5.7376,-158.49,1.92
185,2024-03-01,2024-03-08,BTCX,long,323.9454,334.4933,6.1739,65.12,2.03
186,2024-03-04,2024-03-12,BTCX,long,321.7275,303.5651,6.2164,-112.9,1.94
187,2024-03-06,2024-03-11,BTCX,long,333.8357,322.3185,5.991,-69.0,1.97
188,2024-03-08,2024-03-25,BTCX,long,334.4933,350.0642,5.9792,93.1,2.05
189,2024-03-20,2024-03-25,BTCX,long,356.3921,350.0642,5.6118,-35.51,1.98
190,2024-03-22,2024-04-04,BTCX,long,346.5262,378.0548,5.7716,181.97,2.09
191,2024-03-25,2024-04-04,BTCX,long,350.0642,378.0548,5.7132,159.92,2.08
192,2024-03-26,2024-04-01,BTCX,long,358.5466,348.7986,5.5781,-54.38,1.97
193,2024-03-27,2024-04-05,BTCX,long,370.3869,362.992,5.3998,-39.93,1.98
194,2024-03-29,2024-04-05,BTCX,long,355.5326,362.992,5.6254,41.96,2.02
195,2024-04-04,2024-04-11,BTCX,long,378.0548,428.3988,5.2902,266.33,2.13
196,2024-04-05,2024-04-11,BTCX,long,362.992,428.3988,5.5098,360.38,2.18
197,2024-04-08,2024-04-22,BTCX,long,370.2333,419.134,5.402,264.16,2.13
198,2024-04-09,2024-04-18,BTCX,long,396.5709,451.7536,5.0432,278.3,2.14
199,2024-04-10,2024-04-15,BTCX,long,417.9029,435.7181,4.7858,85.26,2.04
200,2024-04-11,2024-04-18,BTCX,long,428.3988,451.7536,4.6685,109.03,2.05
201,2024-04-12,2024-04-22,BTCX,long,435.927,419.134,4.5879,-77.04,1.96
202,2024-04-15,2024-04-19,BTCX,long,435.7181,442.0182,4.5901,28.92,2.01
203,2024-04-17,2024-04-24,BTCX,long,442.2194,426.8939,4.5226,-69.31,1.97
204,2024-04-18,2024-04-30,BTCX,long,451.7536,440.4013,4.4272,-50.26,1.97
205,2024-04-19,2024-04-30,BTCX,long,442.0182,440.4013,4.5247,-7.32,2.0
206,2024-04-29,2024-05-06,BTCX,long,430.8218,406.7915,4.6423,-111.56,1.94
207,2024-05-13,2024-05-28,BTCX,long,424.2877,394.8392,4.7138,-138.81,1.93
208,2024-05-14,2024-05-29,BTCX,long,437.1126,381.2055,4.5755,-255.8,1.87
209,2024-05-15,2024-05-30,BTCX,long,428.1529,388.3562,4.6712,-185.9,1.91
210,2024-05-16,2024-05-27,BTCX,long,427.4575,408.3718,4.6788,-89.3,1.96
211,2024-05-17,2024-05-31,BTCX,long,405.9907,380.6173,4.9262,-124.99,1.94
212,2024-05-24,2024-05-31,BTCX,long,410.0611,380.6173,4.8773,-143.61,1.93
213,2024-06-07,2024-06-18,BTCX,long,384.5055,379.1299,5.2015,-27.96,1.99
214,2024-06-10,2024-06-21,BTCX,long,386.2168,378.739,5.1784,-38.72,1.98
215,2024-06-11,2024-06-21,BTCX,long,383.6878,378.739,5.2126,-25.8,1.99
216,2024-06-12,2024-06-17,BTCX,long,369.0763,389.5343,5.4189,110.86,2.06
217,2024-06-17,2024-06-20,BTCX,long,389.5343,364.7853,5.1343,-127.07,1.94
218,2024-06-19,2024-06-26,BTCX,long,372.7699,396.396,5.3652,126.76,2.06
219,2024-06-25,2024-07-01,BTCX,long,394.5823,401.7416,5.0687,36.29,2.02
220,2024-06-26,2024-07-02,BTCX,long,396.396,391.2647,5.0455,-25.89,1.99
221,2024-06-27,2024-07-04,BTCX,long,388.7424,408.7635,5.1448,103.0,2.05
222,2024-06-28,2024-07-12,BTCX,long,412.2274,387.8292,4.8517,-118.37,1.94
223,2024-07-01,2024-07-09,BTCX,long,401.7416,386.8337,4.9783,-74.22,1.96
224,2024-07-04,2024-07-11,BTCX,long,408.7635,378.0307,4.8928,-150.37,1.92
225,2024-07-17,2024-07-24,BTCX,long,375.8711,388.5097,5.321,67.25,2.03
226,2024-07-22,2024-08-02,BTCX,long,386.552,435.4263,5.1739,252.87,2.13
227,2024-07-24,2024-08-02,BTCX,long,388.5097,435.4263,5.1479,241.52,2.12
228,2024-07-25,2024-07-31,BTCX,long,398.179,428.6472,5.0229,153.04,2.08
229,2024-07-26,2024-08-08,BTCX,long,433.8835,440.8273,4.6095,32.01,2.02
230,2024-07-30,2024-08-02,BTCX,long,418.1595,435.4263,4.7829,82.59,2.04
231,2024-07-31,2024-08-08,BTCX,long,428.6472,440.8273,4.6658,56.83,2.03
232,2024-08-01,2024-08-08,BTCX,long,422.8336,440.8273,4.73,85.11,2.04
233,2024-08-07,2024-08-21,BTCX,long,442.8347,362.9799,4.5164,-360.66,1.82
234,2024-09-12,2024-09-26,BTCX,long,297.7633,284.8219,6.7167,-86.92,1.96
235,2024-09-13,2024-09-19,BTCX,long,289.9832,308.8859,6.897,130.37,2.07
236,2024-09-16,2024-10-01,BTCX,long,288.5423,265.0888,6.9314,-162.57,1.92
237,2024-09-17,2024-09-27,BTCX,long,284.0775,287.057,7.0403,20.98,2.01
238,2024-09-18,2024-09-26,BTCX,long,302.5924,284.8219,6.6096,-117.46,1.94
239,2024-09-19,2024-09-26,BTCX,long,308.8859,284.8219,6.4749,-155.81,1.92
240,2024-09-20,2024-09-27,BTCX,long,319.048,287.057,6.2686,-200.54,1.9
241,2024-09-23,2024-10-03,BTCX,long,300.9686,272.6004,6.6452,-188.51,1.91
242,2024-09-24,2024-10-04,BTCX,long,292.1295,258.863,6.8463,-227.75,1.89
243,2024-10-11,2024-10-25,BTCX,long,288.3718,231.918,6.9355,-391.54,1.8
244,2024-10-15,2024-10-22,BTCX,long,273.8497,254.6566,7.3033,-140.17,1.93
245,2024-10-29,2024-11-05,BTCX,long,258.2506,259.8841,7.7444,12.65,2.01
246,2024-10-30,2024-11-11,BTCX,long,258.73,270.0241,7.7301,87.3,2.04
247,2024-10-31,2024-11-08,BTCX,long,264.5852,262.905,7.559,-12.7,1.99
248,2024-11-01,2024-11-12,BTCX,long,247.538,276.787,8.0796,236.32,2.12
249,2024-11-04,2024-11-13,BTCX,long,258.0391,284.0263,7.7508,201.42,2.1
250,2024-11-06,2024-11-15,BTCX,long,265.0824,268.4413,7.5448,25.34,2.01
251,2024-11-08,2024-11-20,BTCX,long,262.905,278.9409,7.6073,121.99,2.06
252,2024-11-12,2024-11-21,BTCX,long,276.787,299.829,7.2258,166.5,2.08
253,2024-11-13,2024-11-21,BTCX,long,284.0263,299.829,7.0416,111.28,2.06
254,2024-11-14,2024-11-19,BTCX,long,273.4906,270.1383,7.3129,-24.52,1.99
255,2024-11-15,2024-12-02,BTCX,long,268.4413,318.0727,7.4504,369.77,2.18
256,2024-11-21,2024-11-28,BTCX,long,299.829,306.5069,6.6705,44.55,2.02
257,2024-11-22,2024-12-03,BTCX,long,306.5482,311.7436,6.5243,33.9,2.02
258,2024-11-25,2024-12-05,BTCX,long,297.489,320.8878,6.7229,157.31,2.08
259,2024-11-26,2024-12-05,BTCX,long,294.7919,320.8878,6.7844,177.04,2.09
260,2024-11-27,2024-12-04,BTCX,long,309.2356,308.0523,6.4676,-7.65,2.0
261,2024-11-28,2024-12-11,BTCX,long,306.5069,319.9787,6.5251,87.9,2.04
262,2024-12-02,2024-12-12,BTCX,long,318.0727,302.4558,6.2879,-98.2,1.95
263,2024-12-03,2024-12-18,BTCX,long,311.7436,324.7083,6.4155,83.18,2.04
264,2024-12-05,2024-12-17,BTCX,long,320.8878,332.3579,6.2327,71.49,2.04
265,2024-12-06,2024-12-17,BTCX,long,333.6189,332.3579,5.9949,-7.56,2.0
266,2024-12-09,2024-12-17,BTCX,long,335.955,332.3579,5.9532,-21.41,1.99
267,2024-12-10,2024-12-18,BTCX,long,327.4823,324.7083,6.1072,-16.94,1.99
268,2024-12-11,2024-12-16,BTCX,long,319.9787,329.5796,6.2504,60.01,2.03
269,2024-12-17,2025-01-01,BTCX,long,332.3579,365.3776,6.0176,198.7,2.1
270,2024-12-18,2024-12-26,BTCX,long,324.7083,379.4836,6.1594,337.38,2.17
271,2024-12-19,2024-12-31,BTCX,long,334.2923,373.2413,5.9828,233.02,2.12
272,2024-12-20,2025-01-06,BTCX,long,331.206,371.1932,6.0385,241.46,2.12
273,2024-12-23,2024-12-31,BTCX,long,343.0215,373.2413,5.8305,176.2,2.09
274,2024-12-24,2025-01-07,BTCX,long,348.9248,372.727,5.7319,136.43,2.07
275,2024-12-25,2025-01-09,BTCX,long,371.3238,416.3828,5.3861,242.69,2.12
276,2024-12-26,2025-01-09,BTCX,long,379.4836,416.3828,5.2703,194.47,2.1
277,2024-12-27,2025-01-13,BTCX,long,359.1502,424.4453,5.5687,363.61,2.18
278,2024-12-30,2025-01-13,BTCX,long,364.2226,424.4453,5.4911,330.69,2.17
279,2024-12-31,2025-01-07,BTCX,long,373.2413,372.727,5.3585,-2.76,2.0
280,2025-01-06,2025-01-15,BTCX,long,371.1932,426.0688,5.388,295.67,2.15
281,2025-01-08,2025-01-17,BTCX,long,404.6182,437.6197,4.9429,163.12,2.08
282,2025-01-09,2025-01-14,BTCX,long,416.3828,419.4537,4.8033,14.75,2.01
283,2025-01-10,2025-01-20,BTCX,long,415.7759,426.9747,4.8103,53.87,2.03
284,2025-01-13,2025-01-27,BTCX,long,424.4453,406.759,4.712,-83.34,1.96
285,2025-01-14,2025-01-23,BTCX,long,419.4537,423.4086,4.7681,18.86,2.01
286,2025-01-15,2025-01-28,BTCX,long,426.0688,405.132,4.6941,-98.28,1.95
287,2025-01-16,2025-01-24,BTCX,long,442.7511,397.9724,4.5172,-202.27,1.9
288,2025-01-17,2025-01-23,BTCX,long,437.6197,423.4086,4.5702,-64.95,1.97
289,2025-02-19,2025-02-24,BTCX,long,400.7081,452.9227,4.9912,260.61,2.13
290,2025-02-21,2025-02-26,BTCX,long,379.024,432.0396,5.2767,279.75,2.14
291,2025-02-24,2025-03-10,BTCX,long,452.9227,327.8447,4.4158,-552.32,1.72
292,2025-02-25,2025-03-06,BTCX,long,402.2798,269.3286,4.9717,-660.99,1.67
293,2025-02-26,2025-03-11,BTCX,long,432.0396,300.1678,4.6292,-610.46,1.69
294,2025-02-27,2025-03-13,BTCX,long,424.8061,304.3558,4.708,-567.08,1.72
295,2025-02-28,2025-03-06,BTCX,long,395.0855,269.3286,5.0622,-636.61,1.68
296,2025-03-13,2025-03-18,BTCX,long,304.3558,433.2737,6.5713,847.16,2.42
297,2025-03-14,2025-03-26,BTCX,long,397.6097,353.4072,5.0301,-222.34,1.89
298,2025-03-17,2025-03-26,BTCX,long,425.9497,353.4072,4.6954,-340.62,1.83
299,2025-03-18,2025-03-21,BTCX,long,433.2737,427.3033,4.616,-27.56,1.99
300,2025-03-19,2025-04-01,BTCX,long,450.8351,554.3059,4.4362,459.02,2.23
301,2025-03-20,2025-03-28,BTCX,long,477.0737,417.8287,4.1922,-248.37,1.88
302,2025-04-01,2025-04-09,BTCX,long,554.3059,375.7971,3.6081,-644.08,1.68
303,2025-04-02,2025-04-14,BTCX,long,482.623,560.3141,4.144,321.95,2.16
304,2025-04-03,2025-04-09,BTCX,long,408.4887,375.7971,4.8961,-160.06,1.92
305,2025-04-11,2025-04-21,BTCX,long,484.331,638.0649,4.1294,634.83,2.32
