date,actif,cloture,volume
2024-01-30,AETH,101.9116,1172109
2024-01-30,BTCX,235.9207,429760
2024-01-30,STAB,47.4938,745849
2024-01-31,AETH,102.2205,809714
2024-01-31,BTCX,237.4914,468890
2024-01-31,STAB,47.4962,699522
2024-02-01,AETH,102.1497,704046
2024-02-01,BTCX,246.5088,430178
2024-02-01,STAB,47.3823,641841
2024-02-02,AETH,102.723,687086
2024-02-02,BTCX,245.3119,292649
2024-02-02,STAB,47.3697,3332919
2024-02-05,AETH,103.4817,1186694
2024-02-05,BTCX,236.7873,533997
2024-02-05,STAB,47.4015,845481
2024-02-06,AETH,102.3029,927510
2024-02-06,BTCX,223.6967,294196
2024-02-06,STAB,47.4584,1622473
2024-02-07,AETH,102.8711,916623
2024-02-07,BTCX,227.9203,310948
2024-02-07,STAB,47.4594,1807876
2024-02-08,AETH,102.0835,956580
2024-02-08,BTCX,243.878,237132
2024-02-08,STAB,47.3164,824273
2024-02-09,AETH,103.0213,634272
2024-02-09,BTCX,249.4195,444387
2024-02-09,STAB,47.2878,1075538
2024-02-12,AETH,101.4331,1106045
2024-02-12,BTCX,268.8469,205790
2024-02-12,STAB,47.8956,1074882
2024-02-13,AETH,100.3302,1578727
2024-02-13,BTCX,273.1835,338161
2024-02-13,STAB,47.8772,1350940
2024-02-14,AETH,100.2266,472470
2024-02-14,BTCX,284.2786,481693
2024-02-14,STAB,47.4584,1041834
2024-02-15,AETH,101.2777,1088697
2024-02-15,BTCX,287.3768,320317
2024-02-15,STAB,47.0615,1339552
2024-02-16,AETH,100.946,350652
2024-02-16,BTCX,308.7287,457141
2024-02-16,STAB,46.6143,530146
2024-02-19,AETH,100.7782,739867
2024-02-19,BTCX,330.6326,499046
2024-02-19,STAB,46.8177,1571359
2024-02-20,AETH,102.742,827822
2024-02-20,BTCX,336.5129,169711
2024-02-20,STAB,47.1178,1965293
2024-02-21,AETH,103.9185,927839
2024-02-21,BTCX,326.9107,385979
2024-02-21,STAB,47.1261,897581
2024-02-22,AETH,104.0058,1693948
2024-02-22,BTCX,299.2211,226158
2024-02-22,STAB,47.3917,1142827
2024-02-23,AETH,103.2412,987029
2024-02-23,BTCX,305.1074,321182
2024-02-23,STAB,47.0724,694161
2024-02-26,AETH,102.3531,922119
2024-02-26,BTCX,302.0163,171540
2024-02-26,STAB,47.4861,1291023
2024-02-27,AETH,101.7033,1135813
2024-02-27,BTCX,308.2698,221378
2024-02-27,STAB,47.5538,1108108
2024-02-28,AETH,100.5667,1051984
2024-02-28,BTCX,316.6632,236116
2024-02-28,STAB,47.2144,889462
2024-02-29,AETH,101.0057,882345
2024-02-29,BTCX,348.5782,261974
2024-02-29,STAB,47.5868,1050319
2024-03-01,AETH,101.8508,1063701
2024-03-01,BTCX,323.9454,333347
2024-03-01,STAB,47.9053,821356
2024-03-04,AETH,103.0214,1189128
2024-03-04,BTCX,321.7275,565170
2024-03-04,STAB,47.7417,1703615
2024-03-05,AETH,101.7658,1161230
2024-03-05,BTCX,325.1929,267961
2024-03-05,STAB,47.472,995649
2024-03-06,AETH,101.61,1341023
2024-03-06,BTCX,333.8357,452204
2024-03-06,STAB,47.3506,850588
2024-03-07,AETH,100.8794,1562779
2024-03-07,BTCX,342.1409,235616
2024-03-07,STAB,47.7722,1118873
2024-03-08,AETH,103.6393,585800
2024-03-08,BTCX,334.4933,240279
2024-03-08,STAB,47.6251,615217
2024-03-11,AETH,105.4049,745435
2024-03-11,BTCX,322.3185,585928
2024-03-11,STAB,47.462,1008969
2024-03-12,AETH,103.2654,654455
2024-03-12,BTCX,303.5651,494244
2024-03-12,STAB,46.5891,1306345
2024-03-13,AETH,104.8043,496203
2024-03-13,BTCX,329.8936,525803
2024-03-13,STAB,46.463,1069240
2024-03-14,AETH,106.2095,2612007
2024-03-14,BTCX,327.1448,372628
2024-03-14,STAB,46.0888,1062288
2024-03-15,AETH,106.6918,1413139
2024-03-15,BTCX,320.9559,213568
2024-03-15,STAB,45.9801,1717854
2024-03-18,AETH,108.2192,647410
2024-03-18,BTCX,323.6669,349389
2024-03-18,STAB,45.9507,797205
2024-03-19,AETH,109.9072,988530
2024-03-19,BTCX,342.7715,301305
2024-03-19,STAB,46.0122,1498077
2024-03-20,AETH,110.0602,1107313
2024-03-20,BTCX,356.3921,284376
2024-03-20,STAB,45.8812,1134050
2024-03-21,AETH,111.0572,563943
2024-03-21,BTCX,354.3324,279779
2024-03-21,STAB,46.1347,1466440
2024-03-22,AETH,110.5333,1469270
2024-03-22,BTCX,346.5262,154736
2024-03-22,STAB,46.0353,899246
2024-03-25,AETH,110.4026,988859
2024-03-25,BTCX,350.0642,260538
2024-03-25,STAB,46.0211,2656769
2024-03-26,AETH,110.5504,1345891
2024-03-26,BTCX,358.5466,115744
2024-03-26,STAB,46.3653,917029
2024-03-27,AETH,111.5151,978886
2024-03-27,BTCX,370.3869,149981
2024-03-27,STAB,45.8672,1127648
2024-03-28,AETH,111.5297,725282
2024-03-28,BTCX,372.2908,150598
2024-03-28,STAB,45.959,1082453
2024-03-29,AETH,111.5887,619203
2024-03-29,BTCX,355.5326,236461
2024-03-29,STAB,45.9473,2891992
2024-04-01,AETH,112.2114,1244349
2024-04-01,BTCX,348.7986,278026
2024-04-01,STAB,46.1195,1132785
2024-04-02,AETH,110.1483,1295298
2024-04-02,BTCX,343.6487,316333
2024-04-02,STAB,45.9557,1070782
2024-04-03,AETH,110.5245,1076975
2024-04-03,BTCX,361.7166,240046
2024-04-03,STAB,45.7853,1735258
2024-04-04,AETH,111.914,401999
2024-04-04,BTCX,378.0548,206623
2024-04-04,STAB,45.4635,1431660
2024-04-05,AETH,113.5107,881320
2024-04-05,BTCX,362.992,312611
2024-04-05,STAB,45.6525,922640
2024-04-08,AETH,114.626,711897
2024-04-08,BTCX,370.2333,305959
2024-04-08,STAB,45.3102,1634318
2024-04-09,AETH,113.7262,856875
2024-04-09,BTCX,396.5709,178230
2024-04-09,STAB,44.6609,919657
2024-04-10,AETH,114.6451,820426
2024-04-10,BTCX,417.9029,196528
2024-04-10,STAB,44.8462,1008141
2024-04-11,AETH,116.1373,1414383
2024-04-11,BTCX,428.3988,227110
2024-04-11,STAB,44.735,1650844
2024-04-12,AETH,117.0838,555961
2024-04-12,BTCX,435.927,251064
2024-04-12,STAB,44.705,558757
2024-04-15,AETH,116.4276,957395
2024-04-15,BTCX,435.7181,316103
2024-04-15,STAB,44.6339,1010921
2024-04-16,AETH,117.0988,850862
2024-04-16,BTCX,443.9438,226346
2024-04-16,STAB,44.5294,1235655
2024-04-17,AETH,116.3119,454475
2024-04-17,BTCX,442.2194,406970
2024-04-17,STAB,44.529,1915481
2024-04-18,AETH,114.8901,640403
2024-04-18,BTCX,451.7536,290546
2024-04-18,STAB,44.314,1440240
2024-04-19,AETH,116.0617,709867
2024-04-19,BTCX,442.0182,527967
2024-04-19,STAB,44.2843,927700
2024-04-22,AETH,117.0487,694454
2024-04-22,BTCX,419.134,182622
2024-04-22,STAB,44.1174,1449520
2024-04-23,AETH,119.4527,715160
2024-04-23,BTCX,432.7079,473605
2024-04-23,STAB,43.9693,900960
2024-04-24,AETH,121.8389,1108128
2024-04-24,BTCX,426.8939,674072
2024-04-24,STAB,43.5686,1413121
2024-04-25,AETH,121.1943,351247
2024-04-25,BTCX,402.3038,268591
2024-04-25,STAB,43.1096,1725574
2024-04-26,AETH,120.687,762672
2024-04-26,BTCX,426.1848,304533
2024-04-26,STAB,43.203,1353074
2024-04-29,AETH,123.0699,1237596
2024-04-29,BTCX,430.8218,357331
2024-04-29,STAB,43.414,961950
2024-04-30,AETH,121.7285,1166233
2024-04-30,BTCX,440.4013,278523
2024-04-30,STAB,43.3117,1537305
2024-05-01,AETH,122.2978,915035
2024-05-01,BTCX,421.9188,580610
2024-05-01,STAB,43.3511,1672381
2024-05-02,AETH,121.6736,1168666
2024-05-02,BTCX,403.263,405667
2024-05-02,STAB,42.8314,1911603
2024-05-03,AETH,120.6808,751120
2024-05-03,BTCX,398.6756,344479
2024-05-03,STAB,42.6588,702056
2024-05-06,AETH,120.8005,1392636
2024-05-06,BTCX,406.7915,328439
2024-05-06,STAB,42.2784,1550223
2024-05-07,AETH,122.5571,842896
2024-05-07,BTCX,393.5504,290769
2024-05-07,STAB,42.4455,1119975
2024-05-08,AETH,122.8056,638395
2024-05-08,BTCX,393.2201,164844
2024-05-08,STAB,42.6219,911040
2024-05-09,AETH,122.7102,838086
2024-05-09,BTCX,394.1569,337969
2024-05-09,STAB,42.1247,1254995
2024-05-10,AETH,121.4975,697687
2024-05-10,BTCX,398.0967,280991
2024-05-10,STAB,42.2469,673672
2024-05-13,AETH,120.829,934936
2024-05-13,BTCX,424.2877,384821
2024-05-13,STAB,42.3054,792193
2024-05-14,AETH,120.8203,693811
2024-05-14,BTCX,437.1126,220182
2024-05-14,STAB,42.3554,893315
2024-05-15,AETH,120.6677,767794
2024-05-15,BTCX,428.1529,364453
2024-05-15,STAB,42.0419,657733
2024-05-16,AETH,123.4207,859119
2024-05-16,BTCX,427.4575,146505
2024-05-16,STAB,42.1847,1795611
2024-05-17,AETH,123.0297,885750
2024-05-17,BTCX,405.9907,236085
2024-05-17,STAB,41.9559,1486482
2024-05-20,AETH,124.7747,723245
2024-05-20,BTCX,417.3083,234066
2024-05-20,STAB,42.1686,1491501
2024-05-21,AETH,123.3045,1308947
2024-05-21,BTCX,417.1729,199766
2024-05-21,STAB,42.2699,692674
2024-05-22,AETH,122.7718,982636
2024-05-22,BTCX,421.5664,401532
2024-05-22,STAB,42.0592,736360
2024-05-23,AETH,120.2272,513705
2024-05-23,BTCX,417.3343,402252
2024-05-23,STAB,42.0905,1116360
2024-05-24,AETH,120.6074,996476
2024-05-24,BTCX,410.0611,314402
2024-05-24,STAB,41.573,927621
2024-05-27,AETH,118.8902,754814
2024-05-27,BTCX,408.3718,254497
2024-05-27,STAB,41.408,1473417
2024-05-28,AETH,120.424,1177945
2024-05-28,BTCX,394.8392,234449
2024-05-28,STAB,41.1487,1414818
2024-05-29,AETH,119.3704,549861
2024-05-29,BTCX,381.2055,581106
2024-05-29,STAB,40.9209,1849025
2024-05-30,AETH,120.3559,787926
2024-05-30,BTCX,388.3562,325291
2024-05-30,STAB,40.9277,1084179
2024-05-31,AETH,121.752,369582
2024-05-31,BTCX,380.6173,584242
2024-05-31,STAB,41.1212,983213
2024-06-03,AETH,120.7513,670839
2024-06-03,BTCX,361.1258,511898
2024-06-03,STAB,41.2166,1063701
2024-06-04,AETH,118.944,973489
2024-06-04,BTCX,371.8911,198609
2024-06-04,STAB,41.6192,748651
2024-06-05,AETH,117.9583,513740
2024-06-05,BTCX,363.7586,273585
2024-06-05,STAB,41.4897,1380977
2024-06-06,AETH,117.3691,648364
2024-06-06,BTCX,376.3635,376482
2024-06-06,STAB,41.474,2962371
2024-06-07,AETH,117.4207,604905
2024-06-07,BTCX,384.5055,447460
2024-06-07,STAB,41.3246,1206235
2024-06-10,AETH,119.2409,1282704
2024-06-10,BTCX,386.2168,339985
2024-06-10,STAB,41.3217,1396151
2024-06-11,AETH,119.8699,915490
2024-06-11,BTCX,383.6878,203768
2024-06-11,STAB,41.3401,1249338
2024-06-12,AETH,118.7941,986839
2024-06-12,BTCX,369.0763,348154
2024-06-12,STAB,41.3921,1061508
2024-06-13,AETH,116.5406,429496
2024-06-13,BTCX,378.2923,233119
2024-06-13,STAB,41.3383,1273618
2024-06-14,AETH,116.1633,770475
2024-06-14,BTCX,383.3021,302927
2024-06-14,STAB,41.3343,1304260
2024-06-17,AETH,114.4638,758413
2024-06-17,BTCX,389.5343,243269
2024-06-17,STAB,41.3313,1266389
2024-06-18,AETH,114.3045,549847
2024-06-18,BTCX,379.1299,300022
2024-06-18,STAB,41.2553,963159
2024-06-19,AETH,113.3866,1320817
2024-06-19,BTCX,372.7699,318391
2024-06-19,STAB,40.934,951540
2024-06-20,AETH,112.0835,458478
2024-06-20,BTCX,364.7853,286791
2024-06-20,STAB,40.5133,813818
2024-06-21,AETH,112.5809,581422
2024-06-21,BTCX,378.739,266838
2024-06-21,STAB,40.6726,1210488
2024-06-24,AETH,113.4334,852895
2024-06-24,BTCX,370.2758,224206
2024-06-24,STAB,40.3275,843129
2024-06-25,AETH,112.4878,602650
2024-06-25,BTCX,394.5823,483147
2024-06-25,STAB,40.1655,1274038
2024-06-26,AETH,110.8542,896529
2024-06-26,BTCX,396.396,311340
2024-06-26,STAB,40.1312,1328699
2024-06-27,AETH,112.1352,1352011
2024-06-27,BTCX,388.7424,377533
2024-06-27,STAB,39.8686,1392208
2024-06-28,AETH,112.2623,966259
2024-06-28,BTCX,412.2274,311846
2024-06-28,STAB,40.0339,1797203
2024-07-01,AETH,113.6964,1208126
2024-07-01,BTCX,401.7416,270625
2024-07-01,STAB,39.9306,1432196
2024-07-02,AETH,112.7919,1216384
2024-07-02,BTCX,391.2647,453305
2024-07-02,STAB,39.8807,1116843
2024-07-03,AETH,112.2591,1144672
2024-07-03,BTCX,407.6089,343316
2024-07-03,STAB,39.9156,1173137
2024-07-04,AETH,113.0919,325312
2024-07-04,BTCX,408.7635,378089
2024-07-04,STAB,39.8406,586866
2024-07-05,AETH,116.1466,1027561
2024-07-05,BTCX,413.7592,242156
2024-07-05,STAB,39.5652,1482386
2024-07-08,AETH,116.8786,499935
2024-07-08,BTCX,391.4684,271496
2024-07-08,STAB,39.6688,1194827
2024-07-09,AETH,117.7572,464494
2024-07-09,BTCX,386.8337,458885
2024-07-09,STAB,39.4787,1150092
2024-07-10,AETH,116.1824,752746
2024-07-10,BTCX,367.4047,249019
2024-07-10,STAB,39.2432,1648643
2024-07-11,AETH,116.4362,778010
2024-07-11,BTCX,378.0307,210268
2024-07-11,STAB,38.7494,1653999
2024-07-12,AETH,116.346,825498
2024-07-12,BTCX,387.8292,330610
2024-07-12,STAB,38.8214,608934
2024-07-15,AETH,114.8113,561455
2024-07-15,BTCX,375.59,343247
2024-07-15,STAB,38.9512,800739
2024-07-16,AETH,116.083,737702
2024-07-16,BTCX,381.7279,382639
2024-07-16,STAB,38.6873,1724035
2024-07-17,AETH,116.5926,632284
2024-07-17,BTCX,375.8711,231648
2024-07-17,STAB,38.7112,1559142
2024-07-18,AETH,117.6569,698472
2024-07-18,BTCX,389.2871,339302
2024-07-18,STAB,38.7288,980286
2024-07-19,AETH,116.3118,732814
2024-07-19,BTCX,385.4982,345817
2024-07-19,STAB,38.7375,1056218
2024-07-22,AETH,116.8848,1093268
2024-07-22,BTCX,386.552,69169
2024-07-22,STAB,38.7653,2063535
2024-07-23,AETH,116.1341,518188
2024-07-23,BTCX,377.3696,290852
2024-07-23,STAB,38.7734,1943396
2024-07-24,AETH,118.0615,829203
2024-07-24,BTCX,388.5097,160531
2024-07-24,STAB,38.488,1001905
2024-07-25,AETH,116.7502,725916
2024-07-25,BTCX,398.179,296430
2024-07-25,STAB,38.6673,1283322
2024-07-26,AETH,116.2937,1023929
2024-07-26,BTCX,433.8835,478253
2024-07-26,STAB,38.3166,1138133
2024-07-29,AETH,116.1215,1017864
2024-07-29,BTCX,453.6555,332594
2024-07-29,STAB,38.4007,2213150
2024-07-30,AETH,114.5171,689420
2024-07-30,BTCX,418.1595,420019
2024-07-30,STAB,38.6467,1642135
2024-07-31,AETH,114.3167,614993
2024-07-31,BTCX,428.6472,222450
2024-07-31,STAB,38.4788,1443175
2024-08-01,AETH,114.9102,872292
2024-08-01,BTCX,422.8336,208582
2024-08-01,STAB,38.2609,1873197
2024-08-02,AETH,116.0222,1153229
2024-08-02,BTCX,435.4263,443208
2024-08-02,STAB,38.4572,735654
2024-08-05,AETH,115.1369,996835
2024-08-05,BTCX,427.3618,238187
2024-08-05,STAB,38.5313,1614096
2024-08-06,AETH,115.2664,1869272
2024-08-06,BTCX,457.8904,444576
2024-08-06,STAB,38.3324,1026827
2024-08-07,AETH,115.0706,691633
2024-08-07,BTCX,442.8347,218029
2024-08-07,STAB,38.7694,1252782
2024-08-08,AETH,116.5054,529494
2024-08-08,BTCX,440.8273,218199
2024-08-08,STAB,39.1286,1477577
2024-08-09,AETH,117.3102,1186830
2024-08-09,BTCX,407.7348,504866
2024-08-09,STAB,39.2275,2032219
2024-08-12,AETH,115.9849,997733
2024-08-12,BTCX,394.9533,422097
2024-08-12,STAB,39.2719,888297
2024-08-13,AETH,114.1065,934257
2024-08-13,BTCX,404.1557,271655
2024-08-13,STAB,39.1738,947439
2024-08-14,AETH,114.7391,528820
2024-08-14,BTCX,406.5802,417226
2024-08-14,STAB,39.0082,1504753
2024-08-15,AETH,115.9993,705283
2024-08-15,BTCX,409.8445,172362
2024-08-15,STAB,38.9577,2101101
2024-08-16,AETH,116.6133,602191
2024-08-16,BTCX,400.7907,223267
2024-08-16,STAB,38.9152,867339
2024-08-19,AETH,116.9041,532189
2024-08-19,BTCX,380.9132,568346
2024-08-19,STAB,39.2328,1167076
2024-08-20,AETH,119.3333,660030
2024-08-20,BTCX,365.0013,318979
2024-08-20,STAB,39.5255,1450209
2024-08-21,AETH,120.8994,855045
2024-08-21,BTCX,362.9799,499208
2024-08-21,STAB,39.6009,2435254
2024-08-22,AETH,119.7516,601625
2024-08-22,BTCX,345.4598,218552
2024-08-22,STAB,39.5558,1454977
2024-08-23,AETH,117.9173,1230937
2024-08-23,BTCX,330.0817,248286
2024-08-23,STAB,39.5281,1070521
2024-08-26,AETH,115.917,543309
2024-08-26,BTCX,327.2675,852082
2024-08-26,STAB,39.3919,1132396
2024-08-27,AETH,116.0668,1105496
2024-08-27,BTCX,331.5093,336942
2024-08-27,STAB,39.6404,1516385
2024-08-28,AETH,115.4516,524322
2024-08-28,BTCX,310.237,246952
2024-08-28,STAB,39.6349,1126567
2024-08-29,AETH,114.3523,990657
2024-08-29,BTCX,317.7694,266847
2024-08-29,STAB,39.4727,1059324
2024-08-30,AETH,114.0384,1297996
2024-08-30,BTCX,330.9066,266854
2024-08-30,STAB,39.5393,1148540
2024-09-02,AETH,112.1017,955187
2024-09-02,BTCX,318.2564,481601
2024-09-02,STAB,39.7408,1115303
2024-09-03,AETH,110.2524,962145
2024-09-03,BTCX,313.4976,364365
2024-09-03,STAB,39.5816,684458
2024-09-04,AETH,111.3536,1048702
2024-09-04,BTCX,295.316,342539
2024-09-04,STAB,39.5426,1248202
2024-09-05,AETH,112.5612,1349904
2024-09-05,BTCX,293.4247,194318
2024-09-05,STAB,39.3302,856656
2024-09-06,AETH,113.3815,896100
2024-09-06,BTCX,270.2957,352221
2024-09-06,STAB,39.3069,1597208
2024-09-09,AETH,111.1104,718559
2024-09-09,BTCX,278.6707,186884
2024-09-09,STAB,39.0311,1485304
2024-09-10,AETH,112.2707,530559
2024-09-10,BTCX,279.1799,235384
2024-09-10,STAB,39.5742,1526584
2024-09-11,AETH,109.6273,1422351
2024-09-11,BTCX,280.7318,439441
2024-09-11,STAB,39.1073,1043147
2024-09-12,AETH,107.5506,1297551
2024-09-12,BTCX,297.7633,412889
2024-09-12,STAB,38.6126,1565724
2024-09-13,AETH,106.7439,840010
2024-09-13,BTCX,289.9832,298354
2024-09-13,STAB,38.8597,2147994
2024-09-16,AETH,105.1044,1079251
2024-09-16,BTCX,288.5423,221200
2024-09-16,STAB,39.057,1187840
2024-09-17,AETH,104.2095,981145
2024-09-17,BTCX,284.0775,274831
2024-09-17,STAB,38.9485,850333
2024-09-18,AETH,103.0042,769694
2024-09-18,BTCX,302.5924,303820
2024-09-18,STAB,38.8628,928893
2024-09-19,AETH,100.9525,729684
2024-09-19,BTCX,308.8859,363346
2024-09-19,STAB,39.1099,961881
2024-09-20,AETH,101.7869,758918
2024-09-20,BTCX,319.048,142427
2024-09-20,STAB,38.5104,1326999
2024-09-23,AETH,100.5826,1498534
2024-09-23,BTCX,300.9686,288297
2024-09-23,STAB,38.7555,831788
2024-09-24,AETH,101.8396,677186
2024-09-24,BTCX,292.1295,239587
2024-09-24,STAB,38.7977,644518
2024-09-25,AETH,102.345,1396411
2024-09-25,BTCX,284.9128,182349
2024-09-25,STAB,38.9469,952497
2024-09-26,AETH,103.5106,710324
2024-09-26,BTCX,284.8219,290327
2024-09-26,STAB,38.6814,693768
2024-09-27,AETH,102.5779,545284
2024-09-27,BTCX,287.057,381408
2024-09-27,STAB,38.4244,2054064
2024-09-30,AETH,102.1861,884764
2024-09-30,BTCX,274.4469,289100
2024-09-30,STAB,38.7482,987730
2024-10-01,AETH,103.8389,908720
2024-10-01,BTCX,265.0888,274108
2024-10-01,STAB,38.5794,923813
2024-10-02,AETH,101.8733,929991
2024-10-02,BTCX,272.5249,374834
2024-10-02,STAB,38.6193,2237918
2024-10-03,AETH,99.8731,956537
2024-10-03,BTCX,272.6004,214020
2024-10-03,STAB,38.3417,1460158
2024-10-04,AETH,101.4414,583548
2024-10-04,BTCX,258.863,129979
2024-10-04,STAB,38.238,1849124
2024-10-07,AETH,103.2869,960891
2024-10-07,BTCX,260.1571,289230
2024-10-07,STAB,38.3546,896442
2024-10-08,AETH,102.091,722672
2024-10-08,BTCX,265.4761,377430
2024-10-08,STAB,38.2351,2130804
2024-10-09,AETH,103.9243,955539
2024-10-09,BTCX,268.35,350544
2024-10-09,STAB,38.6254,1212753
2024-10-10,AETH,103.1592,711972
2024-10-10,BTCX,280.8155,465347
2024-10-10,STAB,38.8057,661901
2024-10-11,AETH,102.3449,715739
2024-10-11,BTCX,288.3718,161068
2024-10-11,STAB,39.4117,1086622
2024-10-14,AETH,102.77,506394
2024-10-14,BTCX,278.9807,311936
2024-10-14,STAB,39.4198,1660593
2024-10-15,AETH,101.2652,737728
2024-10-15,BTCX,273.8497,251732
2024-10-15,STAB,39.2328,1561113
2024-10-16,AETH,101.1446,727179
2024-10-16,BTCX,260.7533,656870
2024-10-16,STAB,39.5848,1314567
2024-10-17,AETH,100.9707,1113732
2024-10-17,BTCX,255.7419,302169
2024-10-17,STAB,39.8018,2110463
2024-10-18,AETH,101.3383,573815
2024-10-18,BTCX,245.0803,245342
2024-10-18,STAB,40.087,1484814
2024-10-21,AETH,99.4882,755668
2024-10-21,BTCX,249.726,300599
2024-10-21,STAB,39.9393,1143765
2024-10-22,AETH,98.0039,1796575
2024-10-22,BTCX,254.6566,209028
2024-10-22,STAB,40.416,997260
2024-10-23,AETH,98.2044,1202231
2024-10-23,BTCX,253.6812,350855
2024-10-23,STAB,40.5423,1057463
2024-10-24,AETH,97.2323,1015473
2024-10-24,BTCX,238.5697,214776
2024-10-24,STAB,40.6707,1520676
2024-10-25,AETH,97.5785,930919
2024-10-25,BTCX,231.918,249394
2024-10-25,STAB,40.9576,1676306
2024-10-28,AETH,98.8212,1096785
2024-10-28,BTCX,245.1813,328501
2024-10-28,STAB,40.8878,1025659
2024-10-29,AETH,99.0011,1074571
2024-10-29,BTCX,258.2506,329201
2024-10-29,STAB,40.8001,1048766
2024-10-30,AETH,98.4578,1148288
2024-10-30,BTCX,258.73,196116
2024-10-30,STAB,40.5642,746180
2024-10-31,AETH,96.8721,838303
2024-10-31,BTCX,264.5852,266478
2024-10-31,STAB,40.5835,1170305
2024-11-01,AETH,95.6116,607757
2024-11-01,BTCX,247.538,534561
2024-11-01,STAB,41.0599,1922597
2024-11-04,AETH,95.4944,1105873
2024-11-04,BTCX,258.0391,387442
2024-11-04,STAB,40.9862,609506
2024-11-05,AETH,94.7446,682468
2024-11-05,BTCX,259.8841,345887
2024-11-05,STAB,40.8862,2381142
2024-11-06,AETH,94.7001,935725
2024-11-06,BTCX,265.0824,402015
2024-11-06,STAB,40.733,1464863
2024-11-07,AETH,93.1874,618123
2024-11-07,BTCX,259.4752,228582
2024-11-07,STAB,40.9677,1613018
2024-11-08,AETH,93.1286,662485
2024-11-08,BTCX,262.905,335621
2024-11-08,STAB,41.3256,1106383
2024-11-11,AETH,93.9931,763258
2024-11-11,BTCX,270.0241,157189
2024-11-11,STAB,41.8672,1476971
2024-11-12,AETH,94.1651,877912
2024-11-12,BTCX,276.787,268306
2024-11-12,STAB,42.0315,826476
2024-11-13,AETH,93.6008,747501
2024-11-13,BTCX,284.0263,245224
2024-11-13,STAB,41.9568,941933
2024-11-14,AETH,93.7335,907331
2024-11-14,BTCX,273.4906,279643
2024-11-14,STAB,42.2936,547961
2024-11-15,AETH,93.0684,1315271
2024-11-15,BTCX,268.4413,254374
2024-11-15,STAB,42.5542,1018724
2024-11-18,AETH,93.7972,497030
2024-11-18,BTCX,255.7263,238997
2024-11-18,STAB,42.1011,1217798
2024-11-19,AETH,94.429,763548
2024-11-19,BTCX,270.1383,235216
2024-11-19,STAB,41.7526,1264684
2024-11-20,AETH,95.1715,958138
2024-11-20,BTCX,278.9409,248128
2024-11-20,STAB,42.1962,1080906
2024-11-21,AETH,94.6817,664136
2024-11-21,BTCX,299.829,456849
2024-11-21,STAB,42.208,1144489
2024-11-22,AETH,93.5384,1358186
2024-11-22,BTCX,306.5482,219316
2024-11-22,STAB,42.1515,1657292
2024-11-25,AETH,93.4252,685040
2024-11-25,BTCX,297.489,194765
2024-11-25,STAB,41.6812,1047126
2024-11-26,AETH,93.4178,723868
2024-11-26,BTCX,294.7919,280587
2024-11-26,STAB,41.29,2056558
2024-11-27,AETH,93.7889,736981
2024-11-27,BTCX,309.2356,316399
2024-11-27,STAB,41.1362,1164096
